Name,Longitude,Latitude
5001802,09.32728,48.72984
5001803,09.35944,48.72425
5001905,09.21768,48.67637
5001910,09.12403,48.95524
5001995,09.21874,48.58780
5001997,09.22914,48.65849
5001998,09.20737,48.67866
5001999,09.21125,48.67776
5002000,09.24513,48.63080
5002001,09.24034,48.62335
5002003,09.23558,48.62469
5002006,09.21821,48.67655
5002007,09.24230,48.62428
5002008,09.21806,48.67836
5002009,09.22768,48.67777
5002012,09.21873,48.68115
5002015,09.23100,48.65022
5002016,09.20339,48.64809
5002017,09.20949,48.65072
5002018,09.22998,48.64301
5002019,09.21672,48.65532
5002020,09.22302,48.65315
5002021,09.22087,48.65955
5002022,09.21036,48.65498
5002023,09.24623,48.65130
5002024,09.24734,48.64809
5002025,09.18997,48.65790
5002026,09.20315,48.65443
5002027,09.19523,48.65604
5002028,09.19693,48.65394
5002029,09.18549,48.65984
5002030,09.24208,48.68066
5002031,09.23783,48.67606
5002032,09.25876,48.66514
5002033,09.24087,48.67115
5002035,09.23660,48.66918
5002036,09.23826,48.67412
5002037,09.21551,48.69924
5002038,09.17609,48.72158
5002039,09.21098,48.70111
5002040,09.21739,48.70368
5002041,09.19719,48.71613
5002042,09.22804,48.67102
5002044,09.21463,48.67821
5002045,09.23133,48.66913
5002046,09.22694,48.63838
5002047,09.19093,48.65488
5002049,09.21192,48.66957
5002050,09.15013,48.77002
5002051,09.19633,48.65842
5002052,09.22173,48.65654
5002053,09.16329,48.77196
5002054,09.17147,48.77201
5002055,09.19587,48.64907
5002056,09.18733,48.64742
5002057,09.19279,48.78496
5002058,09.19797,48.78580
5002059,09.20315,48.78560
5002061,09.17463,48.77359
5002062,09.22306,48.60459
5002063,09.19584,48.59506
5002064,09.19978,48.59797
5002065,09.21755,48.59016
5002066,09.22066,48.59085
5002067,09.18861,48.58760
5002068,09.18143,48.58706
5002069,09.14266,48.69462
5002070,09.22984,48.60683
5002071,09.21901,48.67342
5002072,09.19735,48.67799
5002074,09.18607,48.65869
5002075,09.37195,48.64524
5002076,09.21468,48.67348
5002077,09.21980,48.67883
5002078,09.21643,48.65408
5002079,09.21866,48.68440
5002080,09.24998,48.64706
5002081,09.25320,48.64664
5002082,09.21490,48.65254
5002084,09.20234,48.68107
5002085,09.24368,48.66898
5002086,09.25165,48.64424
5002087,09.22595,48.67718
5002088,09.22803,48.67555
5002089,09.20580,48.67997
5002090,09.20484,48.68123
5002091,09.22367,48.65069
5002092,09.21492,48.70230
5002093,09.21719,48.69694
5002094,09.20644,48.70139
5002095,09.21080,48.68285
5002096,09.14092,48.70230
5002097,09.14235,48.70491
5002098,09.12819,48.68441
5002099,09.13201,48.69299
5002100,09.11965,48.70624
5002101,09.16751,48.68303
5002102,09.17499,48.69102
5002103,09.19264,48.69033
5002105,09.12741,48.70516
5002106,09.11290,48.70573
5002107,09.11757,48.69980
5002108,09.12226,48.69199
5002109,09.11801,48.69386
5002110,09.11830,48.69728
5002111,09.16766,48.67437
5002112,09.16940,48.67227
5002114,09.17780,48.66578
5002115,09.17453,48.67010
5002118,09.09154,48.75600
5002121,09.17192,48.67107
5002122,09.16944,48.66682
5002123,09.16638,48.66949
5002124,09.17280,48.66232
