?#DB-ID;Nummer;Name;Name mit Ort;Globale ID;GKZ;Ort;Teilort;Landkreis;Tarifzonen;Tarifnummer;Relationscode;Verkehrsmittel;Linien;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate;Umgebungskarte;Umgebungskarte (ME)
601;2545;Birkacher Straße;Birkacher Straße;de:8111:2545;8111000;Stuttgart;Stuttgart;S;20;20;620;Bus;65;65;30065_;1;30;2736304,17;5403800,98;;
602;2546;Augustinum;Augustinum;de:8111:2546;8111000;Stuttgart;Stuttgart;S;20;20;620;"Nachtbus;Bus";65,N7;65,N7;30065_,33007_;2;30,33;2736459,325;5405150,052;;
603;2547;Steinäcker;Steinäcker;de:8111:2547;8111000;Stuttgart;Stuttgart;S;20;20;620;Bus;65;65;30065_;1;30;2736384,061;5404696,429;;
604;2548;Riedenberg;Riedenberg;de:8111:2548;8111000;Stuttgart;Stuttgart;S;20;20;620;Bus;65;65;30065_;1;30;2736181,683;5404495,174;;
606;2553;Fraubronnstraße;Fraubronnstraße;de:8111:2553;8111000;Stuttgart;Stuttgart;S;20,39;139;139;"Bus;Nachtbus";E,70,73,74,75,76,79,N8;E,70,73,74,75,76,79,N8;30036a,30070_,30073_,30074_,30075_,30075a,30076_,30079_,33008_;9;30,33;2735978,706;5401156,326;;
607;2554;Windhalmweg;Windhalmweg;de:8111:2554;8111000;Stuttgart;Stuttgart;S;20,39;139;139;"Nachtbus;Bus";E,70,73,74,75,76,79,N8;E,70,73,74,75,76,79,N8;30036a,30070_,30073_,30074_,30075_,30075a,30076_,30079_,33008_;9;30,33;2735903,622;5401588,002;;
608;2555;Universität Hohenheim;Universität Hohenheim;de:8111:2555;8111000;Stuttgart;Stuttgart;S;20;20;822;Bus;65,70,74,76;65,70,74,76;30065_,30070_,30074_,30076_;4;30;2736218,957;5402125,185;;
609;2556;Genossenschaftsakademie;Genossenschaftsakademie;de:8111:2556;8111000;Stuttgart;Stuttgart;S;20;20;822;"Nachtbus;Bus";E,65,70,74,76,N8;E,65,70,74,76,N8;30036a,30065_,30070_,30074_,30076_,33008_;6;30,33;2735961,819;5402373,434;;
610;2557;Birkach Friedhof;Birkach Friedhof;de:8111:2557;8111000;Stuttgart;Stuttgart;S;20;20;822;"Nachtbus;Bus";E,65,70,74,76,N8;E,65,70,74,76,N8;30036a,30065_,30070_,30074_,30076_,33008_;6;30,33;2736081,751;5402938,975;;
611;2558;Birkheckenstraße;Birkheckenstraße;de:8111:2558;8111000;Stuttgart;Stuttgart;S;20;20;822;"Bus;Nachtbus";E,65,70,74,76,N8;E,65,70,74,76,N8;30036a,30065_,30070_,30074_,30076_,33008_;6;30,33;2736035,227;5403382,792;;
612;2559;Birkach West;Birkach West;de:8111:2559;8111000;Stuttgart;Stuttgart;S;20;20;822;Bus;65,70,71;65,70,71;30065_,30070_,30071_;3;30;2735639,407;5403668,639;;
613;2560;Pallotti-Kirche;Pallotti-Kirche;de:8111:2560;8111000;Stuttgart;Stuttgart;S;20;20;822;Bus;65,70,71;65,70,71;30065_,30070_,30071_;3;30;2735817,536;5403849,909;;
614;2561;Rotwiesenstraße;Rotwiesenstraße;de:8111:2561;8111000;Stuttgart;Stuttgart;S;20;20;822;Bus;65,70,71;65,70,71;30065_,30070_,30071_;3;30;2736100,998;5403874,095;;
615;2562;Grünlingweg;Grünlingweg;de:8111:2562;8111000;Stuttgart;Stuttgart;S;20;20;822;Bus;70;70;30070_;1;30;2735980,026;5404428,143;;
616;2563;Kolpingsiedlung;Kolpingsiedlung;de:8111:2563;8111000;Stuttgart;Stuttgart;S;20;20;822;Bus;70;70;30070_;1;30;2735366,958;5405728,917;;
617;2564;Fernsehturm;Fernsehturm;de:8111:2564;8111000;Stuttgart;Stuttgart;S;10,2;120;520;Bus;70;70;30070_;1;30;2734462,937;5406992,177;uwaldau.pdf;me_plaene\ME_Waldau.pdf
618;2565;Königsträßle;Königsträßle;de:8111:2565;8111000;Stuttgart;Stuttgart;S;20;20;722;"Linientaxi;Bus;Nachtbus";70,N9,LT70;70,N9,LT70;30070_,33009_,52070_;3;30,33,52;2733957,757;5406647,799;uwaldau.pdf;
619;2566;Leinfeldener Straße;Leinfeldener Straße;de:8111:2566;8111000;Stuttgart;Stuttgart;S;20;20;722;"Bus;Nachtbus";70,71,73,N8;70,71,73,N8;30070_,30071_,30073_,33008_;4;30,33;2733152,658;5405629,649;;
620;2567;Wurmlinger Straße;Wurmlinger Straße;de:8111:2567;8111000;Stuttgart;Stuttgart;S;20;20;722;"Bus;Nachtbus";70,71,73,76,N9,N10;70,71,73,76,N9,N10;30070_,30071_,30073_,30076_,33009_,33010_;6;30,33;2733132,725;5405805,117;;
621;2568;Zur Anhöhe;Zur Anhöhe;de:8111:2568;8111000;Stuttgart;Stuttgart;S;20;20;722;"Bus;Nachtbus";70,71,N8;70,71,N8;30070_,30071_,33008_;3;30,33;2733680,959;5404777,204;;
622;2569;Hoffeld;Hoffeld;de:8111:2569;8111000;Stuttgart;Stuttgart;S;20;20;722;"Bus;Nachtbus";70,71,N8;70,71,N8;30070_,30071_,33008_;3;30,33;2734069,162;5404532,122;;
623;2572;Kaserne Möhringen (Karlshof);Kaserne Möhringen (Karlshof);de:8111:2572;8111000;Stuttgart;Stuttgart;S;20;20;822;"Bus;Nachtbus";E,71,74,76,N8;E,71,74,76,N8;30036a,30071_,30074_,30076_,33008_;5;30,33;2734416,872;5403662,541;;
624;2573;Asemwald;Asemwald;de:8111:2573;8111000;Stuttgart;Stuttgart;S;20;20;822;"Bus;Nachtbus";E,71,74,76,N8;E,71,74,76,N8;30036a,30071_,30074_,30076_,33008_;5;30,33;2734900,769;5403657,568;;
